run,group_size,groups,n_columns,auc
108,3,"('hours.per.week', 'marital.status', 'sex')",10,0.8234004502434654
109,3,"('hours.per.week', 'marital.status', 'native.country')",50,0.8255994169947878
110,3,"('hours.per.week', 'occupation', 'relationship')",22,0.8676181086564327
111,3,"('hours.per.week', 'occupation', 'race')",21,0.7681526753211734
112,3,"('hours.per.week', 'occupation', 'sex')",18,0.7860106493723282
113,3,"('hours.per.week', 'occupation', 'native.country')",58,0.766926807462907
114,3,"('hours.per.week', 'relationship', 'race')",12,0.8280042045805784
115,3,"('hours.per.week', 'relationship', 'sex')",9,0.8271904369810483
116,3,"('hours.per.week', 'relationship', 'native.country')",49,0.8308743748274556
117,3,"('hours.per.week', 'race', 'sex')",8,0.7209001842613816
118,3,"('hours.per.week', 'race', 'native.country')",48,0.6982721597470051
119,3,"('hours.per.week', 'sex', 'native.country')",45,0.7200555191740983
120,3,"('workclass', 'education', 'marital.status')",32,0.8630441626562989
121,3,"('workclass', 'education', 'occupation')",40,0.7794680060240355
122,3,"('workclass', 'education', 'relationship')",31,0.8616855043891629
123,3,"('workclass', 'education', 'race')",30,0.7401763759299054
124,3,"('workclass', 'education', 'sex')",27,0.7687439695441342
125,3,"('workclass', 'education', 'native.country')",67,0.7402673200195542
126,3,"('workclass', 'marital.status', 'occupation')",31,0.8561943787896715
127,3,"('workclass', 'marital.status', 'relationship')",22,0.8090314847119918
128,3,"('workclass', 'marital.status', 'race')",21,0.8039088646784047
129,3,"('workclass', 'marital.status', 'sex')",18,0.8032447406628823
130,3,"('workclass', 'marital.status', 'native.country')",58,0.8066409134099912
131,3,"('workclass', 'occupation', 'relationship')",30,0.8609543689391626
132,3,"('workclass', 'occupation', 'race')",29,0.7452689583316136
133,3,"('workclass', 'occupation', 'sex')",26,0.772891799634779
134,3,"('workclass', 'occupation', 'native.country')",66,0.7439866552661243
135,3,"('workclass', 'relationship', 'race')",20,0.8135850807897651
136,3,"('workclass', 'relationship', 'sex')",17,0.8104886824623337
137,3,"('workclass', 'relationship', 'native.country')",57,0.8128390125094125
138,3,"('workclass', 'race', 'sex')",16,0.6689164795620284
139,3,"('workclass', 'race', 'native.country')",56,0.6191308530962608
140,3,"('workclass', 'sex', 'native.country')",53,0.6695990331551254
141,3,"('education', 'marital.status', 'occupation')",38,0.8731273485530116
142,3,"('education', 'marital.status', 'relationship')",29,0.860996731171908
143,3,"('education', 'marital.status', 'race')",28,0.8577078111141989
144,3,"('education', 'marital.status', 'sex')",25,0.8602388828660762
145,3,"('education', 'marital.status', 'native.country')",65,0.8586467737290413
146,3,"('education', 'occupation', 'relationship')",37,0.8731413355419018
147,3,"('education', 'occupation', 'race')",36,0.7716178944949963
148,3,"('education', 'occupation', 'sex')",33,0.7934063843954731
149,3,"('education', 'occupation', 'native.country')",73,0.7695092126104858
150,3,"('education', 'relationship', 'race')",27,0.8600185877910556
151,3,"('education', 'relationship', 'sex')",24,0.8600559915215917
152,3,"('education', 'relationship', 'native.country')",64,0.8602146922541432
153,3,"('education', 'race', 'sex')",23,0.7595673583576615
